Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
P466  -117.789463    36.531248   -18.397000    -5.041000     0.312000     0.114000     0.141000     0.449000
P467  -118.090626    36.570201   -19.775000    -2.618000     1.096000     0.123000     0.142000     0.531000
P468  -118.118365    36.975682   -18.624000    -4.694000     1.044000     0.108000     0.134000     0.421000
P469  -117.935812    37.231424   -17.596000    -6.458000     0.867000     0.116000     0.142000     0.458000
P470  -117.393892    34.462405   -25.012000     4.899000     0.180000     0.121000     0.142000     0.494000
P471  -117.540870    33.562126   -36.963000    17.182000    -0.613000     0.141000     0.167000     0.563000
P472  -117.104700    32.889211   -39.911000    17.533000    -0.613000     0.138000     0.162000     0.551000
P473  -116.949520    32.733777   -40.122000    17.802000    -1.715000     0.110000     0.129000     0.429000
P474  -117.248696    33.355194   -38.197000    16.569000    -0.333000     0.113000     0.132000     0.449000
P475  -117.243940    32.666397   -41.087000    19.093000    -1.335000     0.146000     0.162000     0.600000
P476  -117.189681    33.439650   -37.546000    16.087000    -0.334000     0.105000     0.123000     0.410000
P477  -117.113376    33.502802   -35.718000    15.727000    -4.715000     0.117000     0.138000     0.468000
P478  -117.071595    33.235716   -38.388000    16.609000    -1.668000     0.112000     0.127000     0.453000
P479  -116.782934    33.493319   -34.661000    13.002000     0.586000     0.115000     0.136000     0.453000
P480  -116.348540    32.975997   -38.321000    15.541000    -0.687000     0.095000     0.109000     0.377000
P481  -116.010795    32.822240   -36.852000    14.234000     0.528000     0.119000     0.138000     0.478000
P482  -116.671417    33.240180   -37.253000    14.746000     0.052000     0.189000     0.220000     0.772000
P483  -116.569330    33.059165   -38.559000    15.996000    -1.255000     0.173000     0.201000     0.674000
P484  -116.620842    33.375593   -35.307000    12.931000    -0.442000     0.173000     0.203000     0.704000
P485  -116.409043    33.210213   -36.307000    13.658000    -1.406000     0.103000     0.118000     0.436000
P486  -116.322290    33.260192   -34.499000    12.301000    -3.315000     0.114000     0.131000     0.449000
P487  -116.183076    33.213532   -33.008000     9.830000     0.473000     0.220000     0.255000     0.865000
P488  -116.078813    33.201016   -31.373000     7.484000     0.697000     0.120000     0.141000     0.473000
P489  -116.111611    33.296213   -28.844000     5.136000     0.542000     0.146000     0.171000     0.599000
P490  -116.425908    33.523463   -29.009000     7.609000    -0.246000     0.155000     0.173000     0.632000
P491  -116.226827    33.574679   -26.349000     5.376000     0.061000     0.132000     0.156000     0.539000
P492  -115.969454    32.887049   -35.645000    13.203000     0.562000     0.120000     0.141000     0.481000
P493  -115.824894    32.954703   -32.938000    10.573000     0.904000     0.143000     0.165000     0.560000
P494  -115.732070    32.759655   -33.358000    12.298000     1.644000     0.215000     0.251000     0.877000
P495  -115.628396    33.044961   -21.869000     5.399000    -5.491000     0.228000     0.263000     0.900000
P496  -115.595956    32.750626   -29.726000     9.385000     2.140000     0.173000     0.197000     0.707000
P497  -115.577034    32.834735   -27.010000     8.963000     1.254000     0.183000     0.212000     0.735000
P498  -115.569568    32.898431   -24.276000     7.518000     0.500000     0.240000     0.274000     0.969000
P499  -115.487914    32.979606   -17.572000    -5.154000    -5.152000     0.173000     0.196000     0.719000
P500  -115.299933    32.690046   -16.963000    -3.489000    -3.039000     0.116000     0.131000     0.443000
P501  -115.397914    32.875756   -14.619000    -6.087000    -1.189000     0.250000     0.287000     1.001000
P502  -115.421913    32.982451   -15.444000    -6.590000    -2.293000     0.166000     0.185000     0.642000
P503  -115.720185    32.948915   -29.143000     8.499000     1.730000     0.190000     0.219000     0.758000
P504  -115.765849    33.516410   -19.580000    -4.722000    -0.579000     0.122000     0.138000     0.499000
P505  -115.687002    33.423873   -17.024000    -6.670000    -0.705000     0.118000     0.138000     0.484000
P506  -115.510200    33.081430   -17.028000    -6.026000    -4.152000     0.303000     0.323000     1.152000
P507  -115.612407    33.199975   -20.641000   -13.651000   -13.129000     0.123000     0.145000     0.498000
P508  -115.428707    33.247780   -15.658000    -7.404000    -0.878000     0.123000     0.139000     0.478000
P509  -115.293919    32.890662   -13.574000    -6.756000    -3.391000     0.159000     0.177000     0.602000
P510  -115.343334    33.143574   -14.852000    -8.165000    -0.777000     0.173000     0.201000     0.704000
P511  -115.296103    33.886934   -15.428000    -8.609000    -0.611000     0.122000     0.139000     0.488000
P512  -119.694450    37.562635   -22.238000    -2.346000     3.772000     0.338000     0.387000     1.358000
P513  -120.650177    34.907265   -41.577000    23.624000     0.381000     0.069000     0.084000     0.276000
P514  -120.409754    35.010716   -40.793000    22.052000     0.653000     0.107000     0.128000     0.436000
P515  -120.239856    34.870556   -41.309000    20.866000    -0.296000     0.078000     0.092000     0.309000
P516  -120.383397    35.106203   -39.702000    21.460000     0.501000     0.065000     0.076000     0.274000
P517  -118.177576    34.376367   -34.775000    10.943000     0.177000     0.131000     0.158000     0.527000
P518  -120.075311    35.020035   -39.407000    18.542000     0.509000     0.103000     0.125000     0.407000
P519  -119.792442    34.507813   -41.283000    19.007000     1.059000     0.195000     0.226000     0.776000
P520  -119.616410    34.630485   -41.306000    16.120000     0.455000     0.079000     0.095000     0.310000
P521  -119.815360    34.888569   -39.455000    17.214000     0.621000     0.102000     0.125000     0.406000
P522  -119.536066    35.086612   -31.180000     8.385000     2.745000     0.136000     0.165000     0.543000
P523  -120.860278    35.304452   -40.165000    24.278000     0.455000     0.108000     0.135000     0.465000
P525  -120.808146    35.425769   -39.466000    23.739000    -0.246000     0.093000     0.113000     0.372000
P526  -120.869742    35.635976   -38.033000    21.710000    -3.467000     0.263000     0.317000     1.095000
P527  -120.604759    35.754146   -38.225000    20.245000    -0.975000     0.156000     0.185000     0.621000
P528  -120.545453    35.327813   -38.664000    21.959000     0.054000     0.099000     0.120000     0.399000
P529  -120.353832    35.440453   -37.266000    19.532000     0.395000     0.121000     0.147000     0.488000
P530  -120.480438    35.624803   -37.054000    20.230000    -0.858000     0.102000     0.125000     0.410000
P531  -120.536605    35.792692   -36.836000    20.323000     0.971000     0.187000     0.229000     0.763000
P532  -120.267031    35.633813   -33.672000    15.598000     1.323000     0.096000     0.114000     0.389000
P533  -120.370958    35.747931   -34.094000    16.846000     0.460000     0.115000     0.140000     0.466000
P534  -122.237615    37.061233   -39.215000    23.139000    -0.035000     0.072000     0.089000     0.291000
P535  -120.101426    35.235129   -37.432000    17.779000     0.745000     0.130000     0.149000     0.547000
P536  -120.025024    35.279769   -35.941000    16.179000     1.136000     0.107000     0.131000     0.446000
P537  -119.935345    35.316797   -33.715000    13.625000     1.446000     0.112000     0.138000     0.463000
P538  -120.112504    35.534175   -32.903000    12.543000     3.592000     0.123000     0.150000     0.509000
P539  -120.182054    35.702674   -27.549000     8.648000     1.478000     0.074000     0.090000     0.297000
P540  -120.130639    35.801280   -24.048000     4.920000     0.807000     0.120000     0.142000     0.486000
P541  -120.000681    35.686732   -24.998000     4.851000     1.255000     0.086000     0.104000     0.350000
P542  -120.292604    35.688911   -33.473000    15.374000     0.197000     0.126000     0.154000     0.504000
P543  -119.713225    35.318993   -27.929000     7.553000     2.348000     0.092000     0.112000     0.402000
P544  -119.738038    35.731268   -22.473000     1.341000    -5.570000     0.119000     0.144000     0.475000
P545  -119.535810    35.499842   -24.630000     1.217000    -8.998000     0.280000     0.329000     1.096000
P546  -120.154887    35.927904   -21.748000     3.827000     2.516000     0.173000     0.211000     0.690000
P547  -119.909364    35.934704   -21.670000     2.022000     0.160000     0.131000     0.161000     0.530000
P548  -119.503949    34.466808   -41.016000    15.971000     0.363000     0.079000     0.094000     0.309000
P549  -119.326344    34.599601   -39.418000    13.131000     1.626000     0.055000     0.066000     0.223000
P550  -119.114624    34.660084   -36.637000    11.080000     2.559000     0.118000     0.140000     0.483000
P551  -119.154574    34.856200   -32.569000     9.380000     0.438000     0.124000     0.178000     0.878000
P552  -120.244964    35.686727   -32.405000    14.192000     0.743000     0.111000     0.134000     0.444000
P553  -118.878972    34.835095   -30.482000     7.201000     1.777000     0.090000     0.109000     0.360000
P554  -118.848032    34.792298   -32.543000     7.452000     1.726000     0.112000     0.138000     0.469000
P555  -118.669427    34.694991   -31.596000    10.040000     0.837000     0.110000     0.134000     0.483000
P556  -118.545457    34.771109   -28.424000     8.509000    -1.457000     0.088000     0.105000     0.351000
P557  -118.655590    34.944385   -25.768000     4.250000     1.231000     0.099000     0.121000     0.426000
P558  -118.611658    35.138606   -24.428000     2.425000     0.630000     0.096000     0.116000     0.386000
P559  -118.617601    34.838910   -26.490000     6.009000     0.821000     0.112000     0.135000     0.464000
P560  -118.540870    34.821811   -26.323000     6.090000     0.781000     0.059000     0.070000     0.246000
P561  -118.399059    34.618460   -30.824000     9.605000     0.348000     0.204000     0.179000     1.087000
P562  -118.188747    34.982133   -22.278000     4.000000    -0.563000     0.074000     0.090000     0.298000
P563  -119.421169    35.418669   -21.905000     2.247000    -9.657000     0.224000     0.271000     0.911000
P564  -119.349393    35.622911   -22.134000    -0.176000   -17.402000     0.630000     0.753000     2.474000
P565  -119.236656    35.743894   -23.213000     0.964000    -2.834000     0.512000     0.615000     2.025000
P566  -119.229290    36.324454   -22.955000    -1.635000   -10.568000     0.144000     0.177000     0.590000
P567  -118.753580    35.420946   -23.540000     0.397000     1.393000     0.128000     0.153000     0.520000
P568  -118.126515    35.254307   -21.900000     1.292000     0.070000     0.070000     0.085000     0.278000
P569  -118.123770    35.377969   -21.549000     0.879000     1.027000     0.115000     0.138000     0.453000
P570  -118.260042    35.667348   -21.277000    -0.036000     1.748000     0.116000     0.137000     0.466000
P571  -118.766718    36.231366   -21.322000    -0.745000     2.382000     0.173000     0.207000     0.705000
P572  -118.954599    36.585516   -21.144000    -1.417000     4.182000     0.216000     0.266000     0.850000
P573  -118.260502    36.093094   -21.294000    -1.126000     1.840000     0.117000     0.142000     0.464000
P574  -117.633889    34.286770   -31.846000     9.013000     0.425000     0.114000     0.134000     0.463000
P575  -117.542165    34.215513   -33.709000    11.018000    -1.266000     0.139000     0.166000     0.556000
P577  -117.318917    34.304606   -26.657000     5.667000     1.930000     0.108000     0.127000     0.434000
P578  -120.239034    35.694332   -30.751000    12.115000     0.498000     0.144000     0.177000     0.596000
P579  -118.005768    35.038763   -21.047000     3.760000    -0.834000     0.103000     0.124000     0.409000
P580  -117.192227    35.620947   -18.538000    -2.540000    -1.168000     0.102000     0.124000     0.403000
P581  -117.729005    34.509739   -26.294000     6.429000     1.241000     0.108000     0.129000     0.427000
P582  -117.548863    34.634259   -23.470000     4.436000    -0.438000     0.179000     0.214000     0.706000
P583  -117.543395    34.987004   -20.486000     2.505000    -0.905000     0.100000     0.120000     0.403000
P584  -116.951645    33.892604   -28.371000     8.870000     1.895000     0.115000     0.136000     0.449000
P585  -116.545749    34.019348   -22.307000     4.056000     1.455000     0.112000     0.133000     0.442000
P586  -117.280524    34.534844   -23.718000     3.744000    -0.243000     0.139000     0.152000     0.607000
P587  -118.031341    34.332234   -34.594000    10.935000    -0.569000     0.143000     0.172000     0.577000
P588  -117.267602    34.785438   -21.518000     2.263000    -0.294000     0.155000     0.194000     0.655000
P589  -117.110192    34.620667   -22.287000     2.076000     0.416000     0.075000     0.089000     0.297000
P590  -117.364753    35.116777   -19.560000     1.205000    -1.052000     0.169000     0.201000     0.681000
P591  -118.016477    35.152425   -20.483000     2.920000    -0.062000     0.106000     0.128000     0.420000
P592  -117.303232    35.238552   -18.643000     0.210000    -1.173000     0.106000     0.127000     0.419000
P593  -117.205061    35.387870   -17.889000    -1.015000    -1.105000     0.103000     0.125000     0.403000
P594  -117.390134    35.896709   -18.546000    -3.476000     0.079000     0.127000     0.155000     0.565000
P595  -117.402831    35.697557   -19.283000    -1.999000    -1.030000     0.098000     0.119000     0.389000
P596  -116.889524    35.998177   -16.485000    -6.455000    -0.117000     0.130000     0.152000     0.523000
P597  -116.888398    35.710599   -17.026000    -4.965000    -0.677000     0.075000     0.092000     0.297000
P598  -116.710270    34.192462   -22.455000     3.852000     0.492000     0.107000     0.125000     0.425000
P599  -116.537467    34.217171   -19.929000     2.597000     1.443000     0.178000     0.207000     0.701000
P600  -116.211879    33.865846   -21.112000    -0.336000     0.193000     0.112000     0.133000     0.440000
P601  -116.080230    33.959296   -18.357000    -3.678000     0.013000     0.117000     0.137000     0.459000
P602  -120.227896    35.729165   -27.984000     8.993000     1.040000     0.124000     0.149000     0.504000
P603  -116.029505    34.716905   -15.615000    -8.037000    -0.193000     0.110000     0.130000     0.444000
P604  -116.671456    34.936827   -18.401000    -3.856000    -0.483000     0.108000     0.131000     0.436000
P605  -117.936670    34.341128   -33.375000    10.293000     1.183000     0.094000     0.114000     0.397000
P606  -116.879627    34.462064   -22.587000     2.095000    -0.001000     0.114000     0.135000     0.448000
P607  -115.820655    33.741039   -17.817000    -5.625000    -0.582000     0.089000     0.102000     0.358000
P608  -115.686605    33.994083   -16.015000    -7.825000    -0.508000     0.117000     0.139000     0.462000
P609  -116.892821    34.062687   -24.520000     6.688000    -0.070000     0.355000     0.420000     1.665000
P610  -115.763727    34.425746   -14.269000    -7.780000    -1.224000     0.168000     0.174000     0.776000
P611  -115.649813    35.204773   -15.348000    -8.711000    -0.486000     0.107000     0.127000     0.433000
P612  -117.315521    34.187383   -29.062000     7.577000     0.728000     0.129000     0.154000     0.526000
P613  -117.049966    34.196190   -24.495000     6.586000    -0.804000     0.461000     0.472000     2.014000
P614  -115.250264    34.731793   -15.042000    -8.595000    -1.240000     0.125000     0.151000     0.635000
P615  -116.762911    35.204608   -17.525000    -3.512000    -0.561000     0.100000     0.120000     0.393000
P616  -117.893335    35.424564   -20.538000     0.398000     0.290000     0.072000     0.087000     0.288000
P617  -116.571647    35.320642   -16.449000    -5.843000    -0.430000     0.100000     0.122000     0.399000
P618  -116.103934    35.141889   -15.925000    -8.260000     0.038000     0.105000     0.120000     0.425000
P619  -116.121805    35.525947   -15.235000    -8.467000     0.399000     0.153000     0.186000     0.618000
P620  -116.144922    35.785363   -15.474000    -8.294000    -0.613000     0.109000     0.132000     0.429000
P621  -115.543952    35.472760   -15.056000    -8.618000    -0.210000     0.145000     0.178000     0.579000
P622  -115.365866    35.162991   -15.092000    -8.809000    -0.202000     0.118000     0.141000     0.499000
P623  -114.599407    34.188933   -14.486000    -8.267000    -0.924000     0.137000     0.160000     0.546000
P625  -114.965145    34.844443   -14.819000    -8.664000    -1.143000     0.107000     0.128000     0.431000
P626  -115.238279    35.291118   -15.049000    -8.718000    -0.616000     0.098000     0.118000     0.389000
P627  -118.378527    37.973101   -16.804000    -5.068000     0.721000     0.123000     0.155000     0.491000
P628  -119.249356    37.934230   -22.511000    -1.218000     1.455000     0.157000     0.188000     0.630000
P629  -119.179375    37.375866   -22.039000    -2.394000     3.530000     0.144000     0.181000     0.571000
P630  -119.000445    37.613036   -23.634000    -5.806000     2.747000     0.369000     0.452000     1.460000
P631  -118.915942    37.605324   -21.297000    -7.010000     3.931000     0.295000     0.367000     1.247000
P632  -119.086077    37.785665   -22.692000    -0.708000     1.989000     0.200000     0.226000     0.909000
P633  -119.032990    37.913460   -21.277000    -0.044000     0.569000     0.202000     0.245000     0.764000
P634  -119.025783    37.696592   -23.021000    -0.751000     0.802000     0.144000     0.159000     0.599000
P635  -119.137993    37.839313   -22.940000    -0.890000     0.925000     0.202000     0.237000     0.818000
P636  -119.146709    37.962771   -23.414000    -1.055000     1.356000     0.148000     0.180000     0.568000
P637  -119.083701    37.914105   -21.806000    -1.124000     0.271000     0.228000     0.271000     0.862000
P638  -118.943481    37.734317   -20.812000     1.611000    10.264000     0.467000     0.565000     1.788000
P639  -118.868711    37.654562   -16.772000    -3.536000     6.873000     0.267000     0.318000     1.022000
P640  -118.960410    37.891738   -20.752000    -0.103000     2.841000     0.216000     0.260000     0.875000
P641  -118.851922    37.878189   -18.596000     0.344000     3.029000     0.179000     0.218000     0.691000
P642  -118.816673    37.591366   -20.669000    -6.674000     1.988000     0.321000     0.414000     1.353000
P643  -118.698164    37.561552   -18.239000    -4.103000     1.572000     0.171000     0.226000     0.767000
P644  -118.684405    37.495392   -20.087000    -4.881000     0.591000     0.234000     0.289000     0.905000
P645  -118.593458    37.541271   -18.266000    -4.116000     1.606000     0.166000     0.201000     0.638000
P646  -118.819990    37.677034   -14.002000    -2.880000     8.775000     0.379000     0.465000     1.474000
P647  -118.767708    37.754361   -16.165000    -0.994000     3.836000     0.198000     0.246000     0.871000
P648  -119.019215    37.800016   -22.523000     0.116000     1.353000     0.206000     0.248000     0.803000
P649  -118.736232    37.903456   -17.238000    -1.300000     1.464000     0.204000     0.246000     0.788000
P650  -118.554903    37.891276   -16.771000    -3.682000     0.738000     0.180000     0.215000     0.720000
P651  -118.386985    37.563109   -17.655000    -5.044000     1.062000     0.113000     0.136000     0.457000
P652  -118.238454    37.589157   -17.277000    -6.064000     0.538000     0.110000     0.139000     0.438000
P653  -118.471662    37.737499   -16.938000    -4.411000     1.464000     0.118000     0.144000     0.483000
P654  -119.150192    38.057934   -22.458000    -2.284000    -0.232000     0.158000     0.194000     0.629000
P655  -122.206324    41.294485   -17.787000    -6.143000     1.200000     0.150000     0.193000     0.652000
P656  -122.195840    41.344838   -17.143000    -6.033000     1.476000     0.169000     0.223000     0.708000
P657  -122.293851    41.381239   -17.084000    -5.543000     1.540000     0.146000     0.185000     0.601000
P658  -122.190914    41.479176   -17.076000    -5.823000     1.782000     0.157000     0.218000     0.654000
P659  -122.092666    41.453733   -17.163000    -5.967000     0.547000     0.126000     0.161000     0.526000
P660  -122.067680    41.409591   -17.565000    -6.346000     0.057000     0.151000     0.166000     0.668000
P661  -122.312673    41.463597   -17.052000    -6.097000    -0.659000     0.126000     0.173000     0.540000
P663  -122.152925    41.531939   -17.629000    -6.055000    -0.290000     0.155000     0.184000     0.736000
P664  -121.495908    40.473195   -19.202000    -4.024000    -8.945000     0.088000     0.120000     0.451000
P665  -121.525757    40.456128   -17.853000    -2.723000    -6.036000     0.096000     0.129000     0.401000
P666  -121.514512    40.465345   -18.260000    -2.468000    -6.851000     0.094000     0.123000     0.397000
P667  -121.467443    40.465826   -22.470000    -3.333000    -9.187000     0.165000     0.213000     0.822000
P668  -121.463080    40.508993   -21.756000    -7.592000    -5.940000     0.147000     0.198000     0.660000
P669  -121.603789    40.492124   -18.868000    -5.311000    -2.515000     0.264000     0.296000     1.195000
P670  -121.577199    40.539905   -18.968000    -6.447000    -1.379000     0.267000     0.342000     1.267000
P671  -121.428211    40.409141   -22.379000    -1.698000    -4.242000     0.081000     0.085000     0.378000
P672  -121.506940    41.711569   -17.176000    -7.037000    -0.819000     0.094000     0.123000     0.370000
P673  -121.613017    41.585823   -15.890000    -6.041000    -4.893000     0.056000     0.072000     0.281000
P674  -121.489989    41.616322   -18.259000    -6.924000    -0.765000     0.128000     0.171000     0.534000
P723  -118.724779    37.380426   -19.795000    -3.404000     1.936000     0.195000     0.210000     0.922000
P724  -118.561071    37.439477   -18.907000    -4.275000     3.090000     0.159000     0.194000     0.649000
P725  -119.745609    37.088895   -22.022000    -1.451000     2.909000     0.250000     0.304000     1.018000
P726  -118.146699    37.280528   -18.096000    -5.746000     1.644000     0.138000     0.172000     0.550000
P727  -118.466775    37.273578   -19.898000    -3.555000     1.636000     0.106000     0.132000     0.417000
P729  -119.096064    34.263082   -42.237000    17.622000    -4.780000     0.356000     0.417000     1.528000
P730  -120.828253    41.359196   -17.747000    -6.897000     0.978000     0.153000     0.198000     0.653000
P731  -120.472764    41.332514   -17.824000    -7.042000    -0.393000     0.074000     0.095000     0.294000
P740  -116.595979    33.598195   -29.846000     8.598000     0.194000     0.159000     0.190000     0.917000
P741  -116.531024    33.557474   -29.381000     8.144000     0.760000     0.166000     0.174000     0.673000
P742  -116.602576    33.495543   -32.865000    10.979000     0.619000     0.124000     0.146000     0.505000
P744  -115.508407    32.829382   -22.075000     9.360000     2.508000     0.252000     0.288000     0.987000
P781  -121.071560    37.698981   -22.797000    -3.400000    -1.368000     0.298000     0.379000     1.233000
P782  -120.216194    35.693820   -28.962000    11.176000     0.255000     0.146000     0.176000     0.617000
P784  -122.420458    41.830815   -15.916000    -5.726000     0.166000     0.106000     0.139000     0.443000
P786  -123.980792    41.845484   -12.489000    -2.499000     1.548000     0.102000     0.150000     0.511000
P787  -121.580836    36.799478   -39.160000    21.770000    -0.420000     0.160000     0.197000     0.711000
P788  -121.478767    36.744337   -39.634000    22.671000    -1.254000     0.123000     0.148000     0.512000
P789  -120.471732    35.946588   -24.025000     6.638000     3.090000     0.125000     0.147000     0.534000
P790  -120.515380    35.929149   -35.420000    19.226000     1.843000     0.124000     0.157000     0.639000
P793  -123.573133    40.478753   -20.005000    -2.710000     0.314000     0.276000     0.354000     1.124000
P794  -122.963759    39.845679   -22.966000    -4.181000    -0.096000     0.075000     0.091000     0.283000
P795  -116.148128    34.508123   -14.877000    -7.159000     0.906000     0.131000     0.158000     0.521000
P796  -114.759350    32.497872   -13.312000    -6.757000    -1.848000     0.234000     0.256000     0.905000
P797  -116.592529    33.537293   -31.582000     9.454000     1.063000     0.167000     0.199000     0.720000
P799  -118.306353    33.927649   -36.933000    17.487000     0.633000     0.285000     0.338000     1.152000
P800  -118.349072    34.021691   -37.092000    17.251000     2.211000     0.226000     0.281000     0.955000
P811  -118.016609    35.152432   -20.833000     3.169000    -1.147000     0.136000     0.164000     0.544000
P812  -118.016537    35.152499   -20.805000     2.905000    -1.006000     0.171000     0.205000     0.679000
PALX  -116.063790    31.559118   -42.367000    20.411000    -0.882000     0.100000     0.113000     0.412000
PBHR  -121.272416    35.708955   -40.481000    25.155000    -1.429000     0.158000     0.193000     0.683000
PBL1  -122.418953    37.853056   -33.911000    10.221000     0.511000     0.245000     0.301000     1.033000
PBPP  -117.922575    34.508228   -28.711000     7.689000     0.962000     0.101000     0.120000     0.411000
PERL  -116.686374    36.901812   -15.471000    -8.385000     0.367000     0.182000     0.218000     0.747000
PHIN  -117.033941    36.980369   -15.526000    -8.175000     0.318000     0.247000     0.300000     1.000000
PHJX  -115.550453    32.490056   -31.139000    14.823000     0.052000     0.126000     0.151000     0.514000
PHLB  -117.694482    34.925423   -21.200000     3.604000    -0.585000     0.082000     0.098000     0.328000
PIN1  -116.458164    33.612157   -27.929000     6.155000     0.173000     0.076000     0.089000     0.303000
PIN2  -116.457622    33.612149   -27.652000     7.451000     0.375000     0.128000     0.147000     0.506000
PJZX  -115.883734    32.417008   -41.131000    17.782000    -0.089000     0.127000     0.147000     0.496000
PKDB  -120.541564    35.945241   -35.348000    19.864000     0.505000     0.173000     0.212000     0.898000
PKRD  -118.232909    34.071562   -37.584000    14.070000    -0.133000     0.083000     0.084000     0.340000
PLO3  -117.243034    32.665423   -39.683000    19.024000    -2.614000     0.587000     0.646000     2.574000
PLPX  -115.151279    31.588602   -38.634000    19.845000     1.424000     0.125000     0.143000     0.485000
PLTX  -115.430897    31.816341   -39.384000    19.559000     0.677000     0.149000     0.167000     0.588000
PMHS  -118.153691    33.902636   -37.693000    16.897000    -1.591000     0.225000     0.264000     0.918000
PMOB  -116.859551    33.357241   -36.705000    15.745000     0.049000     0.145000     0.164000     0.596000
PMTN  -119.056932    37.831372   -21.736000    -0.343000     1.475000     0.151000     0.186000     0.621000
POBG  -116.923751    33.687133   -34.159000    12.964000    -0.908000     0.265000     0.305000     0.997000
POIN  -116.119843    36.579642   -15.280000    -8.971000    -0.274000     0.151000     0.182000     0.663000
POMM  -120.478441    35.919913   -35.243000    16.281000     0.044000     0.220000     0.266000     0.943000
POTB  -121.935390    38.202625   -22.414000    -2.507000    -1.620000     0.338000     0.418000     1.441000
POTR  -116.590868    32.618413   -40.578000    17.415000    -1.593000     0.097000     0.114000     0.387000
PPBF  -117.182093    33.835728   -33.584000    13.032000     1.215000     0.153000     0.173000     0.642000
PPT1  -122.389959    37.187088   -40.907000    23.817000    -3.266000     0.265000     0.323000     1.115000
PSAP  -116.493995    33.819238   -25.238000     6.659000     0.179000     0.161000     0.187000     0.652000
PSDM  -117.807096    34.091766   -35.610000    12.635000     0.451000     0.102000     0.127000     0.439000
PTAX  -115.456338    32.377488   -31.163000    16.546000     0.610000     0.297000     0.351000     1.178000
PTEX  -116.521239    32.288453   -41.559000    18.286000    -1.708000     0.146000     0.162000     0.621000
PTRB  -123.018725    37.996178   -37.844000    24.350000    -1.516000     0.084000     0.106000     0.360000
PTRO  -121.944170    38.209495   -23.546000    -2.186000    -2.411000     0.180000     0.227000     0.820000
PTSG  -124.255201    41.782741   -10.019000    -0.260000     2.368000     0.086000     0.110000     0.360000
PVE3  -118.404261    33.743298   -39.521000    18.995000    -0.415000     0.111000     0.130000     0.441000
PVEP  -118.404253    33.743293   -40.162000    20.372000     1.411000     0.362000     0.404000     1.590000
PVHS  -118.372170    33.779456   -39.572000    18.728000    -0.754000     0.107000     0.124000     0.529000
PVRS  -118.320593    33.773865   -39.511000    18.611000    -0.137000     0.059000     0.075000     0.272000
QHTP  -118.244817    34.628682   -28.602000     8.178000     0.011000     0.101000     0.121000     0.441000
QUIN  -120.944432    39.974554   -20.708000    -4.324000     2.174000     0.148000     0.189000     0.624000
RAAP  -116.917253    33.042237   -39.248000    16.628000    -0.436000     0.167000     0.196000     0.668000
RAGG  -116.151459    34.683139   -16.236000    -7.834000    -0.138000     0.439000     0.520000     1.700000
RAIL  -115.664844    38.280430   -15.813000    -9.419000    -0.553000     0.148000     0.178000     0.630000
RAMT  -117.683352    35.338715   -18.927000     1.120000     0.170000     0.098000     0.119000     0.389000
RAPT  -119.448707    36.664922   -23.888000    -1.557000     0.302000     0.352000     0.417000     1.366000
RBRU  -119.828670    36.759126   -22.248000    -0.452000   -11.127000     0.276000     0.329000     1.117000
RCA2  -119.720002    34.499983   -41.416000    17.546000     1.674000     0.099000     0.120000     0.404000
RDMT  -116.624689    34.643940   -20.435000    -1.333000    -0.272000     0.160000     0.188000     0.635000
RDOM  -118.897945    37.677068   -18.188000    -2.033000     8.289000     0.264000     0.328000     1.113000
RELA  -116.554292    36.715377   -15.439000    -8.469000     0.391000     0.196000     0.236000     0.816000
REP2  -116.468325    36.840442   -15.434000    -8.307000    -0.677000     0.284000     0.349000     1.122000
REP3  -116.468143    36.841269   -15.488000    -8.270000    -0.252000     0.281000     0.346000     1.106000
REP4  -116.466103    36.849144   -15.206000    -8.291000    -0.252000     0.294000     0.361000     1.178000
REPO  -116.468345    36.840352   -15.521000    -8.879000    -0.430000     0.052000     0.064000     0.206000
RHCG  -118.013354    34.000904   -38.184000    15.267000    -2.574000     0.452000     0.475000     1.685000
RHCL  -118.026175    34.019052   -37.153000    14.466000    -0.142000     0.088000     0.104000     0.388000
RMVJ  -117.555325    33.485812   -38.126000    17.195000    -1.453000     0.191000     0.223000     0.784000
RNCH  -120.524831    35.899997   -36.333000    20.031000     1.550000     0.062000     0.076000     0.262000
RNO1  -119.885818    39.537907   -19.842000    -6.279000     2.140000     0.099000     0.120000     0.388000
ROCH  -116.609775    33.611025   -30.257000     9.516000    -1.588000     0.539000     0.565000     2.348000
ROCK  -118.676436    34.235676   -38.490000    17.524000    -0.317000     0.121000     0.148000     0.500000
ROCP  -122.062949    37.816418   -27.226000     4.625000     0.565000     0.293000     0.372000     1.194000
ROGE  -117.085474    36.217877   -16.098000    -6.382000    -0.147000     0.210000     0.252000     0.889000
ROXY  -114.663980    36.839638   -15.149000    -9.386000     0.384000     0.329000     0.412000     1.313000
RSTP  -118.192929    34.875081   -22.989000     5.283000     0.364000     0.105000     0.125000     0.440000
RSVY  -119.184439    34.541478   -38.599000    12.609000     0.844000     0.109000     0.129000     0.476000
RTHS  -117.353338    34.089152   -31.746000    11.531000    -1.533000     0.089000     0.104000     0.354000
RUBY  -115.122837    40.617209   -16.664000    -9.440000    -0.876000     0.070000     0.090000     0.283000
