Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
CTDM  -118.613215    34.516551   -34.943000    10.923000     1.496000     0.150000     0.178000     0.614000
CTMS  -116.370428    34.124101   -18.403000     0.509000     0.754000     0.158000     0.181000     0.644000
CUHS  -119.673953    34.942648   -39.642000    15.247000    -5.782000     0.338000     0.411000     1.506000
CVHS  -117.901722    34.082013   -37.953000    13.260000    -1.881000     0.237000     0.279000     0.989000
DAM1  -118.397367    34.333997   -38.519000    12.330000    -2.006000     0.590000     0.609000     2.605000
DAM2  -118.396869    34.334837   -36.455000    13.110000     1.348000     0.187000     0.189000     0.830000
DAM3  -118.397471    34.333992   -36.406000    12.894000    -0.364000     0.229000     0.222000     0.999000
DDMN  -118.981193    37.744183   -22.235000     1.118000     3.382000     0.200000     0.232000     0.796000
DECH  -119.090606    38.051489   -22.322000    -2.169000     0.276000     0.163000     0.203000     0.682000
DESC  -116.641803    32.829920   -39.713000    16.890000    -2.021000     0.175000     0.202000     0.693000
DHLG  -115.788031    33.389806   -22.940000    -0.953000    -0.794000     0.108000     0.123000     0.432000
DIAB  -121.915632    37.878575   -23.753000     0.225000     0.565000     0.066000     0.088000     0.343000
DIXN  -121.828645    38.468715   -23.460000    -3.607000     2.200000     0.510000     0.615000     2.082000
DLUZ  -117.307224    33.430588   -37.963000    17.142000    -0.889000     0.210000     0.249000     0.830000
DONO  -119.017979    36.692497   -21.363000    -1.838000     1.921000     0.319000     0.373000     1.358000
DSHS  -118.348546    34.023934   -36.434000    17.313000    -0.077000     0.213000     0.247000     0.874000
DSME  -117.249540    33.036479   -39.401000    17.581000    -1.296000     0.102000     0.119000     0.411000
DSSC  -116.712093    33.733332   -28.430000     9.155000     0.208000     0.143000     0.146000     0.614000
DUBP  -121.855140    37.727624   -28.427000     4.954000    -0.354000     0.613000     0.777000     2.518000
DVLE  -117.000690    33.700586   -33.443000    13.889000     2.197000     0.190000     0.222000     0.782000
DVLS  -117.053628    33.691137   -34.526000    12.208000    -0.542000     0.126000     0.155000     0.575000
DVLW  -117.067440    33.657696   -34.739000    13.852000     1.491000     0.173000     0.208000     0.732000
